Code de la région;Libellé de la région;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;Sexe;Nom;Prénom;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Voix;% Voix/Ins;% Voix/Exp
44;Grand Est;3873152;956184;24,69;2916968;75,31;249400;6,44;8,55;77560;2;2,66;2590008;66,87;88,79;M;MACRON;Emmanuel;1500652;38,74;57,94;F;LE PEN;Marine;1089356;28,13;42,06
75;Nouvelle-Aquitaine;4329082;958841;22,15;3370241;77,85;312962;7,23;9,29;127974;2,96;3,8;2929305;67,67;86,92;M;MACRON;Emmanuel;2011068;46,45;68,65;F;LE PEN;Marine;918237;21,21;31,35
84;Auvergne et Rhône-Alpes;5414461;1272754;23,51;4141707;76,49;371585;6,86;8,97;117205;2,16;2,83;3652917;67,47;88,2;M;MACRON;Emmanuel;2452191;45,29;67,13;F;LE PEN;Marine;1200726;22,18;32,87
27;Bourgogne-Franche-Comté;2001305;453202;22,65;1548103;77,35;145595;7,28;9,4;53864;2,69;3,48;1348644;67,39;87,12;M;MACRON;Emmanuel;815709;40,76;60,48;F;LE PEN;Marine;532935;26,63;39,52
53;Bretagne;2453233;498305;20,31;1954928;79,69;171610;7;8,78;56630;2,31;2,9;1726688;70,38;88,32;M;MACRON;Emmanuel;1301226;53,04;75,36;F;LE PEN;Marine;425462;17,34;24,64
24;Centre-Val de Loire;1827599;425870;23,3;1401729;76,7;129941;7,11;9,27;43065;2,36;3,07;1228723;67,23;87,66;M;MACRON;Emmanuel;777973;42,57;63,32;F;LE PEN;Marine;450750;24,66;36,68
11;Île-de-France;7194953;1820241;25,3;5374712;74,7;406994;5,66;7,57;108753;1,51;2,02;4858965;67,53;90,4;M;MACRON;Emmanuel;3825279;53,17;78,73;F;LE PEN;Marine;1033686;14,37;21,27
76;Occitanie;4193817;976955;23,3;3216862;76,7;299768;7,15;9,32;123425;2,94;3,84;2793669;66,61;86,84;M;MACRON;Emmanuel;1759816;41,96;62,99;F;LE PEN;Marine;1033853;24,65;37,01
32;Hauts-de-France;4241543;1060184;25;3181359;75;252110;5,94;7,92;100679;2,37;3,16;2828570;66,69;88,91;M;MACRON;Emmanuel;1497401;35,3;52,94;F;LE PEN;Marine;1331169;31,38;47,06
28;Normandie;2397069;546769;22,81;1850300;77,19;165820;6,92;8,96;50946;2,13;2,75;1633534;68,15;88,28;M;MACRON;Emmanuel;1012062;42,22;61,96;F;LE PEN;Marine;621472;25,93;38,04
52;Pays de la Loire;2705034;580190;21,45;2124844;78,55;190588;7,05;8,97;69707;2,58;3,28;1864549;68,93;87,75;M;MACRON;Emmanuel;1350276;49,92;72,42;F;LE PEN;Marine;514273;19,01;27,58
93;Provence-Alpes-Côte d'Azur;3565160;912932;25,61;2652228;74,39;227813;6,39;8,59;68663;1,93;2,59;2355752;66,08;88,82;M;MACRON;Emmanuel;1306636;36,65;55,47;F;LE PEN;Marine;1049116;29,43;44,53
94;Corse;233633;84151;36,02;149482;63,98;12537;5,37;8,39;7144;3,06;4,78;129801;55,56;86,83;M;MACRON;Emmanuel;66819;28,6;51,48;F;LE PEN;Marine;62982;26,96;48,52
1;Guadeloupe;316062;160452;50,77;155610;49,23;10321;3,27;6,63;11344;3,59;7,29;133945;42,38;86,08;M;MACRON;Emmanuel;100635;31,84;75,13;F;LE PEN;Marine;33310;10,54;24,87
2;Martinique;310673;154539;49,74;156134;50,26;12716;4,09;8,14;8916;2,87;5,71;134502;43,29;86,15;M;MACRON;Emmanuel;104307;33,57;77,55;F;LE PEN;Marine;30195;9,72;22,45
3;Guyane;92601;53916;58,22;38685;41,78;3570;3,86;9,23;1569;1,69;4,06;33546;36,23;86,72;M;MACRON;Emmanuel;21769;23,51;64,89;F;LE PEN;Marine;11777;12,72;35,11
4;La Réunion;639391;237141;37,09;402250;62,91;26385;4,13;6,56;23867;3,73;5,93;351998;55,05;87,51;M;MACRON;Emmanuel;212081;33,17;60,25;F;LE PEN;Marine;139917;21,88;39,75
6;Mayotte;82482;44759;54,27;37723;45,73;1442;1,75;3,82;2767;3,35;7,34;33514;40,63;88,84;M;MACRON;Emmanuel;19140;23,21;57,11;F;LE PEN;Marine;14374;17,43;42,89
